"STATION","NAME","DATE","PRCP","TAVG"
"IN022023000","NEW DELHI PALAM, IN","2021-09-09","0.0","29.6"
"IN022023000","NEW DELHI PALAM, IN","2021-09-10","18.0","27.6"
"IN022023000","NEW DELHI PALAM, IN","2021-09-11","103.1","24.8"
"IN022023000","NEW DELHI PALAM, IN","2021-09-12","38.1","26.9"
"IN022023000","NEW DELHI PALAM, IN","2021-09-13","3.0","27.3"
"IN022023000","NEW DELHI PALAM, IN","2021-09-14","2.0","28.9"
"IN022023000","NEW DELHI PALAM, IN","2021-09-15","5.1","29.5"
"IN022023000","NEW DELHI PALAM, IN","2021-09-16","0.0","25.4"
"IN022023000","NEW DELHI PALAM, IN","2021-09-17","8.9","27.8"
"IN022023000","NEW DELHI PALAM, IN","2021-09-18","0.0","28.7"
"IN022023000","NEW DELHI PALAM, IN","2021-09-19",,"29.7"
"IN022023000","NEW DELHI PALAM, IN","2021-09-20",,"30.1"
"IN022023000","NEW DELHI PALAM, IN","2021-09-21",,"29.3"
"IN022023000","NEW DELHI PALAM, IN","2021-09-22",,"27.2"
"IN022023000","NEW DELHI PALAM, IN","2021-09-23",,"27.8"
"IN022023000","NEW DELHI PALAM, IN","2021-09-24",,"28.2"
"IN022023000","NEW DELHI PALAM, IN","2021-09-25","0.0","28.6"
"IN022023000","NEW DELHI PALAM, IN","2021-09-26",,"28.2"
"IN022023000","NEW DELHI PALAM, IN","2021-09-27",,"29.9"
"IN022023000","NEW DELHI PALAM, IN","2021-09-28",,"30.1"
"IN022023000","NEW DELHI PALAM, IN","2021-09-29",,"29.7"
"IN022023000","NEW DELHI PALAM, IN","2021-09-30",,"29.7"
"IN022023000","NEW DELHI PALAM, IN","2021-10-01",,"29.7"
"IN022023000","NEW DELHI PALAM, IN","2021-10-02","0.0","30.2"
"IN022023000","NEW DELHI PALAM, IN","2021-10-03",,"30.1"
"IN022023000","NEW DELHI PALAM, IN","2021-10-04",,"30.7"
"IN022023000","NEW DELHI PALAM, IN","2021-10-05",,"29.3"
"IN022023000","NEW DELHI PALAM, IN","2021-10-06",,"29.4"
"IN022023000","NEW DELHI PALAM, IN","2021-10-07",,"28.6"
"IN022023000","NEW DELHI PALAM, IN","2021-10-08",,"28.8"
"IN022023000","NEW DELHI PALAM, IN","2021-10-09",,"29.4"
"IN022023000","NEW DELHI PALAM, IN","2021-10-10",,"29.1"
"IN022023000","NEW DELHI PALAM, IN","2021-10-11",,"29.4"
"IN022023000","NEW DELHI PALAM, IN","2021-10-12",,"29.3"
"IN022023000","NEW DELHI PALAM, IN","2021-10-13",,"27.7"
"IN022023000","NEW DELHI PALAM, IN","2021-10-14",,"25.8"
"IN022023000","NEW DELHI PALAM, IN","2021-10-15",,"26.4"
"IN022023000","NEW DELHI PALAM, IN","2021-10-16",,"28.1"
"IN022023000","NEW DELHI PALAM, IN","2021-10-17","0.3","24.2"
"IN022023000","NEW DELHI PALAM, IN","2021-10-18","55.9","21.7"
"IN022023000","NEW DELHI PALAM, IN","2021-10-19","0.0","24.9"
"IN022023000","NEW DELHI PALAM, IN","2021-10-20",,"24.8"
"IN022023000","NEW DELHI PALAM, IN","2021-10-21",,"25.2"
"IN022023000","NEW DELHI PALAM, IN","2021-10-22",,"25.3"
"IN022023000","NEW DELHI PALAM, IN","2021-10-23",,"25.2"
"IN022023000","NEW DELHI PALAM, IN","2021-10-24",,"23.4"
"IN022023000","NEW DELHI PALAM, IN","2021-10-25",,"22.7"
"IN022023000","NEW DELHI PALAM, IN","2021-10-26",,"22.2"
"IN022023000","NEW DELHI PALAM, IN","2021-10-27",,"22.2"
"IN022023000","NEW DELHI PALAM, IN","2021-10-28",,"21.9"
"IN022023000","NEW DELHI PALAM, IN","2021-10-29",,"22.9"
"IN022023000","NEW DELHI PALAM, IN","2021-10-30",,"22.3"
"IN022023000","NEW DELHI PALAM, IN","2021-10-31",,"22.4"
"IN022023000","NEW DELHI PALAM, IN","2021-11-01",,"22.2"
"IN022023000","NEW DELHI PALAM, IN","2021-11-02",,"22.8"
"IN022023000","NEW DELHI PALAM, IN","2021-11-03",,"22.8"
"IN022023000","NEW DELHI PALAM, IN","2021-11-04",,"20.8"
"IN022023000","NEW DELHI PALAM, IN","2021-11-05",,"20.6"
"IN022023000","NEW DELHI PALAM, IN","2021-11-06",,"21.1"
"IN022023000","NEW DELHI PALAM, IN","2021-11-07",,"21.1"
"IN022023000","NEW DELHI PALAM, IN","2021-11-08",,"21.5"
"IN022023000","NEW DELHI PALAM, IN","2021-11-09",,"21.6"
"IN022023000","NEW DELHI PALAM, IN","2021-11-10",,"21.7"
"IN022023000","NEW DELHI PALAM, IN","2021-11-11",,"19.6"
"IN022023000","NEW DELHI PALAM, IN","2021-11-12",,"20.1"
"IN022023000","NEW DELHI PALAM, IN","2021-11-13",,"20.1"
"IN022023000","NEW DELHI PALAM, IN","2021-11-14",,"19.7"
"IN022023000","NEW DELHI PALAM, IN","2021-11-15",,"19.1"
"IN022023000","NEW DELHI PALAM, IN","2021-11-16",,"18.8"
"IN022023000","NEW DELHI PALAM, IN","2021-11-17",,"18.4"
"IN022023000","NEW DELHI PALAM, IN","2021-11-18",,"19.7"
"IN022023000","NEW DELHI PALAM, IN","2021-11-19",,"19.7"
"IN022023000","NEW DELHI PALAM, IN","2021-11-20",,"20.2"
"IN022023000","NEW DELHI PALAM, IN","2021-11-21",,"18.4"
"IN022023000","NEW DELHI PALAM, IN","2021-11-22",,"18.5"
"IN022023000","NEW DELHI PALAM, IN","2021-11-23",,"18.3"
"IN022023000","NEW DELHI PALAM, IN","2021-11-24",,"18.5"
"IN022023000","NEW DELHI PALAM, IN","2021-11-25",,"19.5"
"IN022023000","NEW DELHI PALAM, IN","2021-11-26",,"18.9"
